id,created_at,text
714096000000000000,3/27/16 14:23,"My statement on NATO being obsolete and disproportionately too expensive (and unfair) for the U.S. are now, finally, receiving plaudits!"
714093000000000000,3/27/16 14:14,"Wow, sleepy eyes @chucktodd is at it again. He is do totally biased. The things I am saying are correct. - far better vision than the others"
714075000000000000,3/27/16 13:02,I am interviewed on This Week on @ABC this morning. Enjoy!
713822000000000000,3/26/16 20:16,"Remember, I am the only candidate who is self-funding. While I am given little credit for this by the voters, I am not bought like others!"
713821000000000000,3/26/16 20:12,"Don't believe the @FoxNews Polls, they are just another phony hit job on me. I will beat Hillary Clinton easily in the General Election."
713810000000000000,3/26/16 19:27,"Wisconsin's economy is doing poorly and like everywhere else in U.S., jobs are leaving. I will make our economy strong again - bring in jobs"
713808000000000000,3/26/16 19:20,Nobody will protect our Nation like Donald J. Trump. Our military will be greatly strengthened and our borders will be strong. Illegals out!
713806000000000000,3/26/16 19:13,Lyin' Ted Cruz is now trying to convince prople that his problems with The National Enq.were caused by me. I had NOTHING to do with story!
713803000000000000,3/26/16 19:01,"The press is going out of their way to convince people that I do not like or respect women, when they know that it is just the opposite!"
713747000000000000,3/26/16 15:19,"The media is so after me on women  Wow, this is a tough business. Nobody has more respect for women than Donald Trump!"
713688000000000000,3/26/16 11:24,"""@pattiandsammi: @gullakhta99 @realDonaldTrump @Tytan01 @CNN WOMEN LOVE TRUMP. TRUMP'S EXECS PREDOMINANTLY FEMALE. #WOMEN4TRUMP"""
713677000000000000,3/26/16 10:40,"""@Tytan01: Dear @CNN, after doing a quick Google &amp; Twitter search there are over 15,000 women's groups supporting DonaldTrump. Stop Lying."""
713676000000000000,3/26/16 10:36,"""@SpartanMaker:  Let me help you Trumpophobes with math: Trump: ($10.3B-$1.2M 74' equity)/1.2M = 858,233%. S&amp;P: 1314.5% #Derp"""
713559000000000000,3/26/16 2:51,"""@stanColtrane: Turns out @glennbeck was wrong. @realDonaldTrump had nothing to do with it https://t.co/svSKfiDkdf"""
713558000000000000,3/26/16 2:47,"""@theAgeofLeo: Your instincts on foreign policy &amp; terrorism have been better than all of these so called experienced politicians combined."""
713557000000000000,3/26/16 2:43,"Top suspect in Paris massacre, Salah Abdeslam, who also knew of the Brussels attack, is no longer talking. Weak leaders, ridiculous laws!"
713471000000000000,3/25/16 21:03,"""@11phenomenon: #LyingTed blames @realDonaldTrump for so many things I am starting to think he is having a mental health crisis."""
713134000000000000,3/24/16 22:42,"Wow, just released that $67 million in negative ads was spent on me. How am I still number one - by a lot?"
713131000000000000,3/24/16 22:31,"I didn't start the fight with Lyin'Ted Cruz over the GQ cover pic of Melania, he did. He knew the PAC was putting it out - hence, Lyin' Ted!"
713120000000000000,3/24/16 21:48,Just won a big federal lawsuit similar in certain ways to the Trump U case but the press refuses to write about it. If I lost-monster story!
713066000000000000,3/24/16 18:14,MAKE AMERICA GREAT AGAIN! https://t.co/PHgrT1Nl27
713033000000000000,3/24/16 16:02,Endorsements for Lyin' Ted Cruz- https://t.co/c3QEbexOwT
713032000000000000,3/24/16 15:59,"""@NeilTurner_: @realDonaldTrump Cruz &amp; Rubio are scared! WATCH -&gt; https://t.co/pWjLW1QBKo https://t.co/W2r6mOzgkb"""
713032000000000000,3/24/16 15:55,Europe and the U.S. must immediately stop taking in people from Syria. This will be the destruction of civilization as we know it! So sad!
713031000000000000,3/24/16 15:52,"Just announced that as many as 5000 ISIS fighters have infiltrated Europe. Also, many in U.S.  I TOLD YOU SO! I alone can fix this problem!"
713030000000000000,3/24/16 15:49,"""@Doctor_S_Freud:  @TheView They're all brain-dead puppets with skeletons in their closet. I say you go on and destroy them all"" A dead show"
713027000000000000,3/24/16 15:39,"Explain how the women on The View, which is a total disaster since the great Barbara Walters left, ever got their jobs. @abc is wasting time"
713026000000000000,3/24/16 15:33,".@TheView T.V. show, which is failing so badly that it will soon be taken off thr air, is constantly asking me to go on. I TELL THEM ""NO"""
713014000000000000,3/24/16 14:46,"Hillary Clinton has been working on solving the terrorism problem for years. TIME FOR A CHANGE, I WILL SOLVE - AND FAST!"
713013000000000000,3/24/16 14:41,"""@TimVincent56:  @LindseyGrahamSC Talkers think about the future, Doers are already building it"" #VoteTrump2016 https://t.co/OoB38jypsD"""
713012000000000000,3/24/16 14:38,"It is amazing how often I am right, only to be criticized by the media. Illegal immigration, take the oil, build the wall, Muslims, NATO!"
713007000000000000,3/24/16 14:17,"Remember when I recently said that Brussels is a ""hell hole"" and a mess and the failing @nytimes wrote a critical article. I was so right!"
713006000000000000,3/24/16 14:14,"These politicians like Cruz and Graham, who have watched ISIS and many other problems develop for years, do nothing to make things better!"
713004000000000000,3/24/16 14:07,".@LindseyGrahamSC and Lyin' Ted Cruz are two politicians who are very much alike - ALL TALK AND NO ACTION! Both talk about ISIS, do nothing!"
713003000000000000,3/24/16 14:02,It is amazing how @LindseyGrahamSC gets on so many T.V. shows talking negatively about me when I beat him so badly (ZERO) in his pres run!
712998000000000000,3/24/16 13:40,"""@missi51: .@realDonaldTrump thank God is not a politician, but he's one heck of a fighter who will fight for us, the people."""
712972000000000000,3/24/16 11:59,"We pay a disproportionate share of the cost of N.A.T.O. Why? It is time to renegotiate, and the time is now!"
712969000000000000,3/24/16 11:47,N.A.T.O. is obsolete and must be changed to additionally focus on terrorism as well as some of the things it is currently focused on!
712850000000000000,3/24/16 3:55,"""@Don_Vito_08: ""A picture is worth a thousand words"" @realDonaldTrump  #LyingTed #NeverCruz  @MELANIATRUMP https://t.co/5bvVEwMVF8"""
712845000000000000,3/24/16 3:35,"""@Kj11100Me: @realDonaldTrump Donald Trump will be greater  president than Ragan. Trump will set the button for morality,Christianity."
712837000000000000,3/24/16 3:03,"""@tcsorr: @jphilman0206 @realDonaldTrump self-funded and media loves him. Not beholden to masters like @tedcruz. Who owns Ted?"""
712830000000000000,3/24/16 2:33,"""@DebraRakestraw:  You have over 2M followers more than than @HillaryClinton. This says something about how America feels. #Trump2016 _Ùà__Ùàü"""
712782000000000000,3/23/16 23:25,MAKE AMERICA GREAT AGAIN!
712757000000000000,3/23/16 21:44,I want to thank @RealSheriffJoe for all of his help in our historic Arizona win. Could not have done it without you Joe!
712749000000000000,3/23/16 21:12,"While I believe I will clinch before Cleveland and get more than 1237 delegates, it is unfair in that there have been so many in the race!"
712731000000000000,3/23/16 20:02,"I think having Jeb's endorsement hurts Lyin' Ted. Jeb spent more than $150,000,000 and got nothing. I spent a fraction of that and am first!"
712729000000000000,3/23/16 19:54,"I will be the best by far in fighting terror. I‰Ûªm the only one that was right from the beginning, &amp; now Lyin‰Ûª Ted &amp; others are copying me."
712729000000000000,3/23/16 19:53,Just watched Hillary deliver a prepackaged speech on terror. She‰Ûªs been in office fighting terror for 20 years- and look where we are!
712728000000000000,3/23/16 19:49,"Low energy Jeb Bush just endorsed a man he truly hates, Lyin‰Ûª Ted Cruz. Honestly, I can‰Ûªt blame Jeb in that I drove him into oblivion!"
712727000000000000,3/23/16 19:45,"Lyin‰Ûª Ted Cruz steals foreign policy from me, and lines from Michael Douglas‰ÛÓ just another dishonest politician."
712709000000000000,3/23/16 18:35,"Thank you, Arizona! #Trump2016#MakeAmericaGreatAgain #TrumpTrainhttps://t.co/MMPR0Omwog https://t.co/Dgqky0JiHO"
712646000000000000,3/23/16 14:22,Lyin' Ted Cruz denied that he had anything to do with the G.Q. model photo post of Melania. That's why we call him Lyin' Ted!
712490000000000000,3/23/16 4:04,"Hopefully the Republican Party can come together and have a big WIN in November, paving the way for many great Supreme Court Justices!"
712485000000000000,3/23/16 3:43,"Much bigger win than anticipated in Arizona. Thank you, I will never forget!"
712482000000000000,3/23/16 3:30,"Thank you, Arizona! #Trump2016#WesternTuesday #TrumpTrain https://t.co/VMCzxrryG8"
712474000000000000,3/23/16 2:59,"Incompetent Hillary, despite the horrible attack in Brussels today, wants borders to be weak and open-and let the Muslims flow in.  No way!"
712457000000000000,3/23/16 1:53,"Lyin' Ted Cruz just used a picture of Melania from a G.Q. shoot in his ad. Be careful, Lyin' Ted, or I will spill the beans on your wife!"
712409000000000000,3/22/16 22:41,"Pres. Obama should leave the baseball game in Cuba immediately &amp; get home to Washington- where a #POTUS, under a serious emergency belongs!"
712358000000000000,3/22/16 19:17,"Obama, and all others, have been so weak, and so politically correct, that terror groups are forming and getting stronger! Shame."
712357000000000000,3/22/16 19:16,"#UtahCaucus message from @IvankaTrump! #UTCaucus#MakeAmericaGreatAgain #Trump2016https://t.co/kHigCSUnFC"
712354000000000000,3/22/16 19:04,"#ArizonaPrimary message from @IvankaTrump! #AZPrimary #MakeAmericaGreatAgain #Trump2016https://t.co/WzTDekWJAQ"
712351000000000000,3/22/16 18:52,"#VoteTrump video: https://t.co/NauXRQ2Q91#AZPrimary #ArizonaPrimary #UtahCaucus #UTCaucus #AmericanSamoa https://t.co/bKruyYHFma"
712343000000000000,3/22/16 18:21,"My heart &amp; prayers go out to all of the victims of the terrible #Brussels tragedy. This madness must be stopped, and I will stop it."
712312000000000000,3/22/16 16:16,Watch this clip from earlier this year. Time &amp; time again I have been right about terrorism. It‰Ûªs time to get tough! https://t.co/8mnY3GFRzw
712301000000000000,3/22/16 15:32,I have proven to be far more correct about terrorism than anybody- and it‰Ûªs not even close. Hopefully AZ and UT will be voting for me today!
712295000000000000,3/22/16 15:08,RT @EricTrump: #Arizona: We made it easy to find your polling location for today's primary! Simply visit https://t.co/uJFqD4yTlF _Ùà__Ùàü https:/‰Û_
712291000000000000,3/22/16 14:54,MAKE AMERICA GREAT AGAIN!
712291000000000000,3/22/16 14:53,"President Obama looks and sounds so ridiculous making his speech in Cuba, especially in the shadows of Brussels. He is being treated badly!"
712249000000000000,3/22/16 12:04,"Do you all remember how beautiful and safe a place Brussels was. Not anymore, it is from a different world! U.S. must be vigilant and smart!"
